24/10/2018 00:00:00,453,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
24/10/2018 00:00:00,424,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
24/10/2018 00:00:00,399,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
24/10/2018 00:00:00,380,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
24/10/2018 00:00:00,349,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
24/10/2018 00:00:00,344,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
24/10/2018 00:00:00,271,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
24/10/2018 00:00:00,215,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
24/10/2018 00:00:00,199,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
24/10/2018 00:00:00,198,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
24/10/2018 00:00:00,163,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
24/10/2018 00:00:00,149,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
24/10/2018 00:00:00,100,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
24/10/2018 00:00:00,98,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
24/10/2018 00:00:00,91,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
24/10/2018 00:00:00,90,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
24/10/2018 00:00:00,82,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
24/10/2018 00:00:00,74,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
24/10/2018 00:00:00,66,"Università di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
24/10/2018 00:00:00,58,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
