"timestamp","hour","count","area","address","lat","lon"
07/11/2018,"06",11,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"06",10,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"06",7,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"06",4,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"06",4,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"06",4,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"06",4,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"06",4,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
07/11/2018,"06",3,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"06",3,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"06",2,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"06",2,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
07/11/2018,"06",2,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
07/11/2018,"06",2,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"06",2,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"06",1,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
07/11/2018,"06",1,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
07/11/2018,"06",1,"Edilizia","via Fermi, 4","43.71652","10.39422"
07/11/2018,"06",1,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
07/11/2018,"06",1,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
07/11/2018,"06",1,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"06",1,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"07",111,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"07",73,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"07",64,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"07",51,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"07",48,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"07",27,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"07",27,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"07",25,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"07",25,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"07",14,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"07",14,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"07",10,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"07",10,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"07",10,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"07",10,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"07",10,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"07",9,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
07/11/2018,"07",8,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"07",8,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"07",7,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"07",5,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
07/11/2018,"07",5,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"07",5,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
07/11/2018,"07",5,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"07",5,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
07/11/2018,"07",4,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"07",3,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
07/11/2018,"07",3,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"07",2,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
07/11/2018,"07",2,"Edilizia","via Fermi, 4","43.71652","10.39422"
07/11/2018,"07",2,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"07",2,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
07/11/2018,"07",2,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
07/11/2018,"07",2,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
07/11/2018,"07",1,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"07",1,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
07/11/2018,"07",1,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
07/11/2018,"07",1,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"07",1,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
07/11/2018,"08",207,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"08",168,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"08",107,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"08",97,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"08",95,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"08",60,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"08",56,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"08",52,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"08",49,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"08",30,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"08",29,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"08",28,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"08",24,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
07/11/2018,"08",19,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"08",16,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"08",15,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"08",15,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"08",13,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"08",13,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
07/11/2018,"08",11,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
07/11/2018,"08",11,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"08",10,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
07/11/2018,"08",9,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"08",7,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"08",7,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"08",6,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"08",6,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
07/11/2018,"08",5,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"08",4,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
07/11/2018,"08",3,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
07/11/2018,"08",3,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"08",3,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
07/11/2018,"08",3,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"08",3,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"08",2,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
07/11/2018,"08",2,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
07/11/2018,"08",1,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
07/11/2018,"08",1,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
07/11/2018,"08",1,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
07/11/2018,"08",1,"Ex Dipartimento di Chimica","Via Risorgimento, 35","43.71833","10.39137"
07/11/2018,"08",1,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
07/11/2018,"08",1,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
07/11/2018,"09",176,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"09",152,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"09",149,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"09",98,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"09",74,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"09",74,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"09",61,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"09",54,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"09",40,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"09",30,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"09",29,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"09",29,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"09",28,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"09",28,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"09",24,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"09",20,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"09",19,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"09",17,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
