timestamp,count,area,address,lat,lon
9/11/2018,105,Accademia Navale,"Viale Italia, 72",43.52793,10.30778
9/11/2018,99,Dipartimento di Scienze della Terra,"Via Santa Maria, 53",43.71829,10.39684
9/11/2018,91,Dipartimento di Chimica,"Via Giuseppe Moruzzi, 13",43.71726,10.42732
9/11/2018,81,Ex Monastero Benedettine,"Lungarno Sidney Sonnino, 18",43.71382,10.39403
9/11/2018,74,USID,"Edificio G, Largo Bruno Pontecorvo, 3",43.71993,10.40923
9/11/2018,55,Mensa Betti,Via E. Betti,43.71483,10.41804
9/11/2018,47,Palazzo Lanfranchi,"Lungarno Galileo Galilei, 9",43.71381,10.40519
9/11/2018,44,Storia e filosofia,"Via Pasquale Paoli, 9",43.71837,10.3987
9/11/2018,42,Polo didattico ex Guidotti,"Via Trieste, 38-40",43.7174,10.39228
9/11/2018,41,Centro ricerche agroambientali,"Via Vecchia di Marina, 6 - S.Piero a Grado",43.67997,10.34677
9/11/2018,41,Università di Pisa - Uffici,"Lungarno Antonio Pacinotti, 43",43.71672,10.39885
9/11/2018,40,Dipartimento di Biologia,"Via Alessandro Volta, 4Bis",43.71845,10.39603
9/11/2018,36,DSU Piazza Cavalieri,"Piazza dei Cavalieri, 6",43.72009,10.40059
9/11/2018,35,Palazzo della Sapienza,"Via Curtatone e Montanara, 15",43.71733,10.39951
9/11/2018,34,Biblioteca di Storia delle Arti,"Via Nicola Pisano, 40",43.71745,10.39232
9/11/2018,31,Residenza I Praticelli,"Via Giovanni Berchet, 40",43.7191,10.42715
9/11/2018,30,Palazzo Matteucci,"Piazza Evangelista Torricelli, 2",43.71823,10.39813
9/11/2018,28,Biblioteca di Scienze naturali e ambientali,"Via Derna, 1",43.71857,10.39524
9/11/2018,25,Centro Universitario Sportivo,"Via Federico Chiarugi, 5",43.72651,10.4126
9/11/2018,24,Dipartimento di Scienze Politiche,"Via Filippo Serafini, 3",43.71675,10.39905
9/11/2018,21,Pensionato Universiatario Toniolo,Via S. Zeno 8,43.72198,10.40591
9/11/2018,15,Orto Botanico,"Via Luca Ghini, 13",43.71914,10.39627
9/11/2018,12,Edilizia,"via Fermi, 4",43.71652,10.39422
9/11/2018,8,Ex Dipartimento di Chimica,"Via Risorgimento, 35",43.71833,10.39137
9/11/2018,6,Dipartimento di Filologia,"Via Santa Maria, 36",43.71901,10.39753
9/11/2018,5,Museo di storia naturale,"Via Roma, 79",43.7222,10.52264
9/11/2018,5,Retrovirus,"Strada Statale 12 dell'Abetone e del Brennero, 2",43.72512,10.41319
9/11/2018,4,Cittadella Galileiana,"Via Nicola Pisano, 27",43.71686,10.39132
10/11/2018,605,DSU Lungarno Pacinotti,"Lungarno Antonio Pacinotti, 43",43.71672,10.39885
10/11/2018,526,Scuola di Ingegneria,"Largo Lucio Lazzarino, 1",43.72103,10.38988
10/11/2018,478,Dipartimento di Economia,"Via Cosimo Ridolfi, 10",43.71119,10.41037
10/11/2018,331,Dipartimento di Giurisprudenza,"Via Collegio Ricci, 10",43.71779,10.39706
10/11/2018,293,Palazzo Congressi,"Via Giacomo Matteotti, 1",43.71052,10.41078
10/11/2018,280,Ospedale Santa Chiara,"Via Roma, 67",43.72186,10.39571
10/11/2018,230,Polo Portanuova,Via Marinello Nelli,43.72587,10.39133
10/11/2018,217,Facoltà di Lingue,"Via Santa Maria, 85",43.72004,10.39703
10/11/2018,190,Polo Fibonacci,"Largo Bruno Pontecorvo, 3",43.72115,10.40774
10/11/2018,188,Accademia Navale,"Viale Italia, 72",43.52793,10.30778
10/11/2018,165,Aula Studio Pacinotti,"Via Filippo Buonarroti, 6",43.72254,10.40751
10/11/2018,153,Scuola Superiore S.Anna,"Piazza Martiri della Libertà, 33",43.72096,10.40278
10/11/2018,102,Dipartimento di Scienze Veterinarie,"Viale delle Piagge, 2",43.70851,10.41197
10/11/2018,91,Ospedale di Cisanello,Via Pietro Trivella,43.70041,10.4393
10/11/2018,70,Dipartimento  di Agraria,"Via del Borghetto, 80",43.71111,10.41331
10/11/2018,59,Palazzo Lanfranchi,"Lungarno Galileo Galilei, 9",43.71381,10.40519
10/11/2018,51,Polo Carmignani,"Piazza dei Cavalieri, 8",43.72013,10.40091
10/11/2018,48,USID,"Edificio G, Largo Bruno Pontecorvo, 3",43.71993,10.40923
10/11/2018,40,Ex Monastero Benedettine,"Lungarno Sidney Sonnino, 18",43.71382,10.39403
10/11/2018,36,Residenza I Praticelli,"Via Giovanni Berchet, 40",43.7191,10.42715
