timestamp,count,area,address
11/11/2018,11,Centro Universitario Sportivo,"Via Federico Chiarugi, 5"
11/11/2018,50,Dipartimento  di Agraria,"Via del Borghetto, 80"
11/11/2018,4,Dipartimento di Biologia,"Via Alessandro Volta, 4Bis"
11/11/2018,413,Dipartimento di Economia,"Via Cosimo Ridolfi, 10"
11/11/2018,3,Dipartimento di Farmacia,"Via Bonanno Pisano, 6"
11/11/2018,290,Dipartimento di Giurisprudenza,"Via Collegio Ricci, 10"
11/11/2018,52,Dipartimento di Scienze della Terra,"Via Santa Maria, 53"
11/11/2018,2,Dipartimento di Scienze Politiche,"Via Filippo Serafini, 3"
11/11/2018,96,Dipartimento di Scienze Veterinarie,"Viale delle Piagge, 2"
11/11/2018,558,DSU Lungarno Pacinotti,"Lungarno Antonio Pacinotti, 43"
11/11/2018,66,DSU Piazza Cavalieri,"Piazza dei Cavalieri, 6"
11/11/2018,7,Edilizia,"via Fermi, 4"
11/11/2018,1,Ex Dipartimento di Chimica,"Via Risorgimento, 35"
11/11/2018,42,Ex Monastero Benedettine,"Lungarno Sidney Sonnino, 18"
11/11/2018,231,Facoltà di Lingue,"Via Santa Maria, 85"
11/11/2018,2,Mensa Betti,Via E. Betti
11/11/2018,33,Museo di storia naturale,"Via Roma, 79"
11/11/2018,1,Orto Botanico,"Via Luca Ghini, 13"
11/11/2018,59,Ospedale di Cisanello,Via Pietro Trivella
11/11/2018,320,Ospedale Santa Chiara,"Via Roma, 67"
11/11/2018,568,Palazzo Congressi,"Via Giacomo Matteotti, 1"
11/11/2018,23,Palazzo della Sapienza,"Via Curtatone e Montanara, 15"
11/11/2018,61,Palazzo Lanfranchi,"Lungarno Galileo Galilei, 9"
11/11/2018,4,Palazzo Matteucci,"Piazza Evangelista Torricelli, 2"
11/11/2018,3,Pensionato Universiatario Toniolo,Via S. Zeno 8
11/11/2018,17,Polo Carmignani,"Piazza dei Cavalieri, 8"
11/11/2018,1,Polo didattico ex Guidotti,"Via Trieste, 38-40"
11/11/2018,170,Polo Fibonacci,"Largo Bruno Pontecorvo, 3"
11/11/2018,207,Polo Portanuova,Via Marinello Nelli
11/11/2018,104,Residenza I Praticelli,"Via Giovanni Berchet, 40"
11/11/2018,235,Scuola di Ingegneria,"Largo Lucio Lazzarino, 1"
11/11/2018,146,Scuola Superiore S.Anna,"Piazza Martiri della Libertà, 33"
11/11/2018,1,Storia e filosofia,"Via Pasquale Paoli, 9"
11/11/2018,14,Università di Pisa - Uffici,"Lungarno Antonio Pacinotti, 43"
11/11/2018,42,USID,"Edificio G, Largo Bruno Pontecorvo, 3"
12/11/2018,615,Accademia Navale,"Viale Italia, 72"
12/11/2018,574,Aula Studio Pacinotti,"Via Filippo Buonarroti, 6"
12/11/2018,113,Biblioteca di Scienze naturali e ambientali,"Via Derna, 1"
12/11/2018,158,Biblioteca di Storia delle Arti,"Via Nicola Pisano, 40"
12/11/2018,530,Biblioteca Salesiani,"Via Nicola Pisano, 40"
12/11/2018,131,Centro ricerche agroambientali,"Via Vecchia di Marina, 6 - S.Piero a Grado"
12/11/2018,15,Centro Universitario Sportivo,"Via Federico Chiarugi, 5"
12/11/2018,26,Cittadella Galileiana,"Via Nicola Pisano, 27"
12/11/2018,715,Dipartimento  di Agraria,"Via del Borghetto, 80"
12/11/2018,140,Dipartimento di Biologia,"Via Alessandro Volta, 4Bis"
12/11/2018,494,Dipartimento di Chimica,"Via Giuseppe Moruzzi, 13"
12/11/2018,4330,Dipartimento di Economia,"Via Cosimo Ridolfi, 10"
12/11/2018,587,Dipartimento di Farmacia,"Via Bonanno Pisano, 6"
12/11/2018,34,Dipartimento di Filologia,"Via Santa Maria, 36"
12/11/2018,958,Dipartimento di Giurisprudenza,"Via Collegio Ricci, 10"
12/11/2018,343,Dipartimento di Scienze della Terra,"Via Santa Maria, 53"
12/11/2018,99,Dipartimento di Scienze Politiche,"Via Filippo Serafini, 3"
12/11/2018,674,Dipartimento di Scienze Veterinarie,"Viale delle Piagge, 2"
12/11/2018,777,DSU Lungarno Pacinotti,"Lungarno Antonio Pacinotti, 43"
12/11/2018,172,DSU Piazza Cavalieri,"Piazza dei Cavalieri, 6"
12/11/2018,22,Edilizia,"via Fermi, 4"
12/11/2018,11,Ex Dipartimento di Chimica,"Via Risorgimento, 35"
12/11/2018,152,Ex Monastero Benedettine,"Lungarno Sidney Sonnino, 18"
12/11/2018,1251,Facoltà di Lingue,"Via Santa Maria, 85"
12/11/2018,97,Mensa Betti,Via E. Betti
12/11/2018,22,Museo di storia naturale,"Via Roma, 79"
12/11/2018,30,Orto Botanico,"Via Luca Ghini, 13"
12/11/2018,595,Ospedale di Cisanello,Via Pietro Trivella
12/11/2018,1242,Ospedale Santa Chiara,"Via Roma, 67"
12/11/2018,39,Palazzo Congressi,"Via Giacomo Matteotti, 1"
12/11/2018,200,Palazzo della Sapienza,"Via Curtatone e Montanara, 15"
12/11/2018,58,Palazzo Lanfranchi,"Lungarno Galileo Galilei, 9"
